============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(18.1 MeV) ==> Layer 1( 1.51 mm) ========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   90  1 .5720503E+07   1513000E+01  .2018E+06 -.8345E+05   .9969641 -.0303481  .0717049
T   91  1 .5461834E+07   1513000E+01 -.9192E+05 -.2889E+06   .9986784  .0505965 -.0090207
T   92  1 .5419555E+07   1513000E+01 -.1492E+05 -.5686E+06   .9961022 -.0413795 -.0778982
T   93  1 .6311478E+07   1513000E+01  .5353E+04 -.3057E+05   .9997844  .0204541  .0035760
T   94  1 .6201285E+07   1513000E+01  .1276E+06 -.2783E+06   .9990150 -.0425378 -.0126290
T   95  1 .6140245E+07   1513000E+01  .5048E+06 -.2637E+06   .9990109  .0418724 -.0149672
T   96  1 .5782938E+07   1513000E+01  .3633E+06 -.3920E+06   .9966428  .0260635 -.0776136
T   97  1 .5875459E+07   1513000E+01  .4596E+05 -.5302E+05   .9985307  .0534628 -.0088382
T   98  1 .5734317E+07   1513000E+01  .4402E+06  .2217E+06   .9999832 -.0013341  .0056347
T   99  1 .6084850E+07   1513000E+01  .4749E+05  .2760E+06   .9948602 -.0075520  .1009760
T  100  1 .6259945E+07   1513000E+01 -.3326E+06  .2836E+06   .9974726 -.0531879  .0471104
T  101  1 .6051307E+07   1513000E+01  .3166E+05  .8126E+05   .9994132  .0328950 -.0095440
T  102  1 .6262856E+07   1513000E+01  .7537E+05 -.3575E+06   .9990342  .0344439 -.0272802
T  103  1 .6028948E+07   1513000E+01 -.1783E+06 -.1301E+06   .9996778 -.0230548 -.0106176
T  104  1 .6310105E+07   1513000E+01  .2894E+05 -.1644E+06   .9995035  .0238064  .0206416
T  105  1 .5819442E+07   1513000E+01  .4443E+06  .3311E+06   .9999811  .0058812  .0017904
T  106  1 .5715771E+07   1513000E+01 -.2696E+06  .1549E+06   .9995118 -.0308573  .0049002
T  107  1 .6013301E+07   1513000E+01  .1309E+06 -.1436E+06   .9999550  .0043500  .0084353
T  108  1 .6214500E+07   1513000E+01 -.5224E+06 -.1344E+06   .9973274 -.0651211  .0331250
T  109  1 .6397024E+07   1513000E+01  .1730E+06  .3041E+06   .9976015 -.0121166  .0681500
T  110  1 .6694127E+07   1513000E+01  .1035E+06 -.1448E+06   .9977108  .0669801 -.0093197
T  111  1 .5902281E+07   1513000E+01  .2368E+06 -.5497E+05   .9982839  .0020262 -.0585242
T  112  1 .5858458E+07   1513000E+01 -.3431E+06 -.2162E+05   .9979610 -.0582726  .0260394
T  113  1 .6332339E+07   1513000E+01 -.1216E+05  .3535E+06   .9971626 -.0120091  .0743143
T  114  1 .6227057E+07   1513000E+01 -.2152E+06  .2076E+06   .9971494 -.0666457  .0353759
T  115  1 .5992990E+07   1513000E+01 -.4801E+05  .1434E+06   .9969808  .0212451  .0746849
T  116  1 .6161012E+07   1513000E+01  .2100E+06 -.1602E+06   .9960752  .0861937 -.0201214
T  117  1 .5746857E+07   1513000E+01  .1448E+06 -.6352E+06   .9955637  .0297042 -.0892783
T  118  1 .5825631E+07   1513000E+01  .6145E+06  .4893E+05   .9989985  .0387160  .0224271
T  119  1 .5792570E+07   1513000E+01  .1776E+06  .1508E+06   .9999901  .0024217  .0037439
T  120  1 .5948044E+07   1513000E+01  .3283E+06  .2256E+06   .9997413 -.0105340  .0201594
T  121  1 .6258360E+07   1513000E+01  .2734E+06 -.2072E+05   .9978066  .0514510 -.0416505
T  122  1 .5946153E+07   1513000E+01 -.2088E+05  .7083E+06   .9930467  .0274346  .1144792
T  123  1 .6361845E+07   1513000E+01 -.1095E+07 -.9197E+05   .9918133 -.1253898 -.0241617
T  124  1 .6253098E+07   1513000E+01 -.7103E+05 -.1004E+05   .9996607 -.0205799  .0159692
T  125  1 .5739652E+07   1513000E+01 -.7161E+06 -.4150E+06   .9934219 -.1039435 -.0480490
T  126  1 .6493339E+07   1513000E+01  .3569E+05 -.1899E+06   .9990028 -.0348948 -.0278523
T  127  1 .6125778E+07   1513000E+01 -.2448E+06  .4050E+06   .9935575 -.0377583  .1068540
T  128  1 .5797459E+07   1513000E+01  .1417E+06 -.4495E+06   .9994956 -.0072909 -.0309084
T  129  1 .6294588E+07   1513000E+01 -.3942E+06 -.3511E+05   .9812013 -.1763856 -.0783077
T  130  1 .6640867E+07   1513000E+01  .4399E+06 -.3586E+06   .9992864  .0341134 -.0162142
T  131  1 .6242904E+07   1513000E+01  .5970E+05 -.2793E+05   .9999382 -.0048195  .0100228
T  132  1 .5934004E+07   1513000E+01 -.4981E+06 -.2135E+06   .9986403 -.0435439 -.0286630
T  133  1 .6294012E+07   1513000E+01 -.3782E+06 -.2013E+06   .9968026 -.0688923 -.0404779
T  134  1 .5837936E+07   1513000E+01  .1287E+06  .1468E+06   .9994083 -.0201494  .0278759
T  135  1 .6315005E+07   1513000E+01  .1612E+06  .6009E+05   .9930761  .0370582  .1114747
T  136  1 .5628760E+07   1513000E+01 -.1291E+06 -.1899E+06   .9947343 -.1015685 -.0136957
T  137  1 .6237420E+07   1513000E+01 -.1341E+06  .3305E+06   .9960382 -.0453848  .0764736
T  138  1 .6349132E+07   1513000E+01  .8671E+06  .3821E+06   .9955056  .0736847  .0594911
T  139  1 .6199117E+07   1513000E+01  .3262E+06  .1033E+06   .9998683  .0158968  .0032539
T  140  1 .6113457E+07   1513000E+01 -.1693E+06 -.2338E+06   .9993157 -.0129789 -.0346367
T  141  1 .6097372E+07   1513000E+01 -.1302E+06  .2493E+06   .9999412 -.0047829 -.0097277
T  142  1 .5966531E+07   1513000E+01  .5069E+06  .8924E+05   .9930415  .1166138  .0164268
T  143  1 .6925012E+07   1513000E+01 -.3399E+06  .1876E+06   .9995758 -.0258290  .0134534
T  144  1 .5744132E+07   1513000E+01  .6919E+05  .4820E+06   .9912275 -.0643157  .1154623
T  145  1 .6096550E+07   1513000E+01 -.2117E+06  .5885E+05   .9995328  .0302605  .0043027
T  146  1 .6629390E+07   1513000E+01 -.2212E+06  .4417E+06   .9902843 -.0245635  .1368706
T  147  1 .5855870E+07   1513000E+01 -.1057E+07 -.9338E+05   .9920314 -.1205436 -.0366454
T  148  1 .6075470E+07   1513000E+01 -.2353E+06 -.1803E+06   .9925509 -.0981145 -.0722230
T  149  1 .6153735E+07   1513000E+01 -.3290E+06  .4200E+06   .9962335 -.0422060  .0757455
T  150  1 .6021585E+07   1513000E+01  .7851E+05 -.6486E+06   .9978151 -.0452019 -.0481849
T  151  1 .5622777E+07   1513000E+01  .3983E+06  .2513E+05   .9990824  .0292682 -.0312688
T  152  1 .6332370E+07   1513000E+01 -.2455E+06  .2510E+06   .9995234 -.0266928  .0155070
T  153  1 .5921766E+07   1513000E+01  .1061E+06  .8240E+05   .9993448 -.0051260  .0358298
T  154  1 .5611660E+07   1513000E+01 -.1172E+06  .7180E+05   .9997402 -.0063919  .0218796
T  155  1 .6104898E+07   1513000E+01  .2125E+06  .1968E+06   .9990718 -.0004028  .0430739
T  156  1 .5967233E+07   1513000E+01 -.2417E+07  .7485E+06   .9857590 -.1654963  .0298364
T  157  1 .5737252E+07   1513000E+01 -.5913E+06  .4892E+04   .9967354 -.0707547  .0388889
T  158  1 .5810607E+07   1513000E+01  .1347E+06 -.1620E+06   .9997342  .0157963 -.0167931
T  159  1 .5981824E+07   1513000E+01  .2077E+06  .4459E+05   .9999791 -.0016253 -.0062642
T  160  1 .5552249E+07   1513000E+01 -.1188E+05 -.7913E+06   .9851109 -.0771807 -.1536217
T  161  1 .6136512E+07   1513000E+01 -.1171E+06  .1238E+06   .9995160  .0258874 -.0172498
T  162  1 .5985160E+07   1513000E+01  .4241E+06  .1748E+06   .9976569  .0506281 -.0460163
T  163  1 .6171508E+07   1513000E+01  .1529E+06 -.2535E+06   .9905465  .1117486 -.0795605
T  164  1 .6399130E+07   1513000E+01  .7575E+05  .3437E+06   .9922305 -.0204434  .1227221
T  165  1 .5863666E+07   1513000E+01  .1118E+06  .2413E+06   .9923549  .0155398  .1224344
T  166  1 .6217455E+07   1513000E+01 -.1912E+06 -.2376E+06   .9998966  .0122507 -.0075313
T  167  1 .5727853E+07   1513000E+01  .1632E+06  .4106E+05   .9996275  .0091853  .0257017
T  168  1 .5734988E+07   1513000E+01  .3615E+06 -.6714E+06   .9960280  .0001662 -.0890401
T  169  1 .6159593E+07   1513000E+01 -.1060E+05 -.2871E+06   .9987999 -.0148738 -.0466633
T  170  1 .5934948E+07   1513000E+01  .4570E+06  .3257E+06   .9990569  .0388090  .0194748
T  171  1 .6270131E+07   1513000E+01 -.1831E+06  .1796E+04   .9991254  .0416089  .0041379
T  172  1 .6212763E+07   1513000E+01  .5977E+06  .4558E+06   .9959949  .0522803  .0725322
T  173  1 .6130728E+07   1513000E+01  .3219E+06 -.8460E+06   .9897608  .0199784 -.1413310
T  174  1 .4965687E+07   1513000E+01 -.6748E+05  .9368E+05   .9990243  .0049201  .0438894
T  175  1 .5768783E+07   1513000E+01 -.3777E+06 -.3429E+04   .9941417 -.1080789 -.0011286
T  176  1 .6148067E+07   1513000E+01  .1505E+06 -.5859E+05   .9999655  .0061562 -.0055706
T  177  1 .6758568E+07   1513000E+01 -.2676E+06  .9257E+05   .9943759 -.1048054 -.0152456
T  178  1 .5363080E+07   1513000E+01 -.1750E+06  .2980E+06   .9803129 -.1118692  .1627019
T  179  1 .5955594E+07   1513000E+01  .7166E+06  .1636E+05   .9931433  .0985470  .0628882
T  180  1 .6086660E+07   1513000E+01  .5992E+06 -.2356E+06   .9926369  .1210281  .0049159
T  181  1 .6216308E+07   1513000E+01  .3973E+06 -.1709E+06   .9984716  .0431408 -.0345442
T  182  1 .5907419E+07   1513000E+01  .3981E+06  .5058E+06   .9966089  .0393483  .0722665
T  183  1 .5786180E+07   1513000E+01  .6319E+06  .4059E+06   .9993566  .0357235 -.0032071
T  184  1 .5932012E+07   1513000E+01 -.1159E+06  .1120E+06   .9986594 -.0391883  .0338173
T  185  1 .6125659E+07   1513000E+01 -.4408E+06 -.1864E+06   .9984817 -.0547524  .0060347
T  186  1 .5814714E+07   1513000E+01 -.4227E+06  .1873E+05   .9907072 -.0465577  .1277955
T  187  1 .5726976E+07   1513000E+01 -.4492E+06  .5867E+06   .9925627 -.0997405  .0697930
T  188  1 .6036571E+07   1513000E+01  .5479E+05 -.1327E+06   .9985024  .0534304 -.0117508
T  189  1 .5861777E+07   1513000E+01  .5202E+06 -.1843E+06   .9946910  .0995033 -.0262480
T  190  1 .5727019E+07   1513000E+01  .2228E+06  .2431E+06   .9935288  .0767736  .0837036
T  191  1 .6541833E+07   1513000E+01 -.1204E+06 -.2493E+05   .9998228 -.0117455  .0147105
T  192  1 .6083666E+07   1513000E+01  .2355E+06 -.1747E+06   .9993343 -.0364299 -.0019442
T  193  1 .6301983E+07   1513000E+01  .3886E+06  .9536E+05   .9995234  .0289512 -.0107151
T  194  1 .5406232E+07   1513000E+01 -.1177E+06 -.1255E+06   .9763539 -.1211544 -.1790383
T  195  1 .6042507E+07   1513000E+01 -.4524E+06  .4508E+06   .9926474 -.1094131  .0517687
T  196  1 .6197259E+07   1513000E+01 -.4385E+06 -.2841E+06   .9998029 -.0196042  .0031427
T  197  1 .5747367E+07   1513000E+01  .7949E+05 -.6291E+05   .9995330 -.0232908  .0197841
T  198  1 .6431410E+07   1513000E+01  .2449E+06 -.1609E+06   .9986251  .0499774 -.0158165
T  199  1 .5709408E+07   1513000E+01  .2885E+06  .4022E+06   .9995131  .0301313  .0081092
T  200  1 .6169770E+07   1513000E+01  .2327E+06 -.2490E+06   .9979364 -.0181120 -.0616031
T  201  1 .6195588E+07   1513000E+01  .8731E+06  .1171E+07   .9882364  .0963969  .1187286
T  202  1 .6281383E+07   1513000E+01 -.7661E+05 -.6133E+06   .9979531  .0020659 -.0639167
T  203  1 .5785799E+07   1513000E+01  .3867E+06 -.5737E+06   .9933034  .0893634 -.0732297
T  204  1 .6455910E+07   1513000E+01  .3272E+06  .4689E+06   .9987738 -.0038810  .0493542
T  205  1 .6120160E+07   1513000E+01  .3350E+06 -.2930E+06   .9963599  .0511096 -.0682262
T  206  1 .6317792E+07   1513000E+01 -.2561E+06 -.2347E+06   .9991320 -.0413312 -.0051922
T  207  1 .5822175E+07   1513000E+01 -.9240E+05 -.7114E+06   .9961017 -.0293232 -.0831963
T  208  1 .5679329E+07   1513000E+01  .4583E+06 -.2552E+06   .9967469  .0503304 -.0629484
T  209  1 .5973989E+07   1513000E+01  .4771E+06  .5332E+06   .9869666  .0743987  .1426948
T  210  1 .6047972E+07   1513000E+01 -.2494E+06 -.2401E+06   .9990747 -.0430057 -.0005679
