============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(18.1 MeV) ==> Layer 1( 1.48 mm) ========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  154  1 .6326370E+07   1488000E+01  .8432E+05 -.6368E+06   .9986718 -.0078912 -.0509150
T  155  1 .6529935E+07   1488000E+01 -.5327E+05 -.3577E+06   .9994726  .0289148 -.0147829
T  156  1 .6318082E+07   1488000E+01 -.1885E+06  .4019E+06   .9990966  .0224264  .0360972
T  157  1 .6431369E+07   1488000E+01 -.1381E+06 -.6891E+05   .9994494 -.0318622  .0092582
T  158  1 .5905577E+07   1488000E+01 -.3333E+06 -.2863E+06   .9982497 -.0176398 -.0564479
T  159  1 .6322665E+07   1488000E+01 -.2904E+06 -.2084E+06   .9998233 -.0180814  .0051391
T  160  1 .6063925E+07   1488000E+01 -.3521E+06 -.2141E+07   .9828325 -.0009924 -.1844972
T  161  1 .6113305E+07   1488000E+01  .1604E+06 -.3312E+06   .9969977  .0765649 -.0115536
T  162  1 .6443391E+07   1488000E+01 -.1746E+06  .5538E+05   .9991127 -.0230872  .0352246
T  163  1 .6085247E+07   1488000E+01 -.1028E+06  .1721E+06   .9989961 -.0023119  .0447369
T  164  1 .6022719E+07   1488000E+01  .1754E+06 -.1400E+04   .9997296  .0230498  .0030836
T  165  1 .6774281E+07   1488000E+01 -.7482E+06 -.5250E+06   .9937984 -.1020892 -.0440733
T  166  1 .6415071E+07   1488000E+01 -.7746E+06 -.4432E+06   .9465268 -.3217425 -.0238501
T  167  1 .6594748E+07   1488000E+01  .2212E+06  .8022E+05   .9936550  .1105081 -.0209190
T  168  1 .6397307E+07   1488000E+01  .3056E+06  .9181E+06   .9886125  .0913139  .1196127
T  169  1 .6028791E+07   1488000E+01  .5391E+05 -.1176E+06   .9987028  .0297086 -.0413542
T  170  1 .6255619E+07   1488000E+01 -.3660E+06 -.8460E+05   .9988849 -.0213463 -.0421108
T  171  1 .6687285E+07   1488000E+01  .1539E+06 -.1407E+06   .9992031  .0359787  .0172808
T  172  1 .6591946E+07   1488000E+01  .2822E+06  .8049E+05   .9912763  .1312091  .0124657
T  173  1 .6746290E+07   1488000E+01  .2003E+06  .4005E+06   .9993059  .0056733  .0368181
T  174  1 .6618210E+07   1488000E+01  .4249E+06 -.6709E+06   .9914384  .1010118 -.0827440
T  175  1 .6842519E+07   1488000E+01 -.7843E+05  .3104E+06   .9974796 -.0453228  .0545926
T  176  1 .6851211E+07   1488000E+01  .2761E+06  .2482E+04   .9991794  .0271374  .0300670
T  177  1 .6751548E+07   1488000E+01  .1425E+06  .4608E+05   .9968958  .0724918  .0307191
T  178  1 .6893840E+07   1488000E+01  .5387E+06 -.2332E+06   .9978635  .0647239  .0089018
T  179  1 .5696134E+07   1488000E+01  .4474E+06  .1335E+06   .9980158  .0625541  .0071736
T  180  1 .6191393E+07   1488000E+01  .3865E+06 -.1949E+06   .9400906  .2704241 -.2076067
T  181  1 .6379949E+07   1488000E+01  .2751E+06  .5908E+06   .9926321  .0870669  .0842662
T  182  1 .6555848E+07   1488000E+01  .1294E+06  .2770E+06   .9967254  .0614795  .0525238
T  183  1 .6868865E+07   1488000E+01 -.1825E+06  .4314E+06   .9984924 -.0164601  .0523633
T  184  1 .5953966E+07   1488000E+01  .3102E+06 -.1958E+05   .9991986  .0329323  .0227530
T  185  1 .6630216E+07   1488000E+01  .2687E+06 -.8296E+05   .9997234  .0113724 -.0205880
T  186  1 .6565787E+07   1488000E+01  .7556E+05  .9217E+05   .9992437  .0270006 -.0279826
T  187  1 .5461329E+07   1488000E+01 -.1131E+07  .3162E+07   .9297930 -.1130836  .3502815
